"","P","Q","E"
"1980-12-27",0,0.703796296296296,6.6587
"1980-12-28",0,0.690462962962963,6.5792
"1980-12-29",14.4805,0.8225,5.711
"1980-12-30",0.2279,0.79537037037037,6.3097
"1980-12-31",0,0.705462962962963,6.0095
"1981-01-01",0.0167,0.657314814814815,6.5761
"1981-01-02",0,0.625555555555556,4.899
"1981-01-03",0,0.619444444444444,4.8556
"1981-01-04",0,0.630925925925926,6.0833
"1981-01-05",0,0.611111111111111,6.1115
"1981-01-06",0.0797,0.610648148148148,5.3502
"1981-01-07",0,0.615462962962963,6.3837
"1981-01-08",0.0284,0.589259259259259,6.8496
"1981-01-09",1.6675,0.580555555555556,5.4571
"1981-01-10",7.9275,0.673703703703704,3.7922
"1981-01-11",1.1124,0.731203703703704,6.0418
"1981-01-12",0,0.611759259259259,6.4911
"1981-01-13",0,0.573055555555556,7.1544
"1981-01-14",0,0.541018518518518,7.3322
"1981-01-15",0,0.518888888888889,6.9296
"1981-01-16",0,0.505277777777778,6.1707
"1981-01-17",0,0.492407407407407,6.5984
"1981-01-18",0.0616,0.478888888888889,6.0617
"1981-01-19",7.3043,0.552222222222222,5.4154
"1981-01-20",1.6544,0.608333333333333,6.2172
"1981-01-21",0,0.523981481481481,4.8386
"1981-01-22",0,0.512962962962963,4.5813
"1981-01-23",0,0.500833333333333,5.4441
"1981-01-24",0,0.493611111111111,6.2381
"1981-01-25",0,0.482314814814815,7.0216
"1981-01-26",0,0.461574074074074,6.7124
"1981-01-27",3.616,0.506851851851852,4.4917
"1981-01-28",15.362,0.719074074074074,3.1411
"1981-01-29",2.5647,0.734722222222222,5.1775
"1981-01-30",0,0.551296296296296,5.8071
"1981-01-31",0,0.501759259259259,5.7134
"1981-02-01",0,0.48712962962963,6.0698
"1981-02-02",0,0.468333333333333,6.2232
"1981-02-03",0,0.450462962962963,6.6651
"1981-02-04",0,0.434351851851852,5.2467
"1981-02-05",20.4202,0.569351851851852,2.6997
"1981-02-06",1.1165,0.728888888888889,5.2337
"1981-02-07",0,0.508148148148148,5.4817
"1981-02-08",0,0.473425925925926,5.767
"1981-02-09",0,0.457222222222222,5.3439
"1981-02-10",0,0.451018518518518,3.8158
"1981-02-11",0.0419,0.443425925925926,4.871
"1981-02-12",0.0011,0.438148148148148,4.8705
"1981-02-13",0,0.436296296296296,6.4635
"1981-02-14",0,0.42037037037037,5.2719
"1981-02-15",0,0.412962962962963,6.4725
"1981-02-16",0,0.402407407407407,6.2712
"1981-02-17",0,0.406574074074074,5.04
"1981-02-18",0,0.406574074074074,4.4946
"1981-02-19",0,0.407962962962963,3.9495
"1981-02-20",0,0.408703703703704,4.0727
"1981-02-21",0,0.416944444444444,4.4882
"1981-02-22",0.3627,0.419074074074074,4.3473
"1981-02-23",1.4402,0.414259259259259,5.3066
"1981-02-24",0,0.400092592592593,5.1898
"1981-02-25",0.1551,0.38787037037037,4.7959
"1981-02-26",0,0.396666666666667,5.0735
"1981-02-27",0,0.379537037037037,5.2737
"1981-02-28",0,0.364351851851852,4.7233
"1981-03-01",0,0.358518518518519,5.1281
"1981-03-02",14.4488,0.481388888888889,4.3528
"1981-03-03",0.0466,0.492685185185185,3.9975
"1981-03-04",0.7058,0.42712962962963,3.3643
"1981-03-05",2.0207,0.478611111111111,3.6937
"1981-03-06",0,0.460277777777778,4.3544
"1981-03-07",0,0.41537037037037,4.5774
"1981-03-08",0,0.406018518518519,3.7591
"1981-03-09",0.9107,0.430555555555556,3.5347
"1981-03-10",8.0666,0.585,2.7429
"1981-03-11",0.0515,0.496203703703704,3.0916
"1981-03-12",0.0978,0.470740740740741,3.7426
"1981-03-13",4.0924,0.475555555555556,2.7979
"1981-03-14",33.1915,2.79898148148148,2.4265
"1981-03-15",4.3712,2.52101851851852,3.4425
"1981-03-16",0,0.804444444444444,3.4555
"1981-03-17",0,0.598703703703704,3.1941
"1981-03-18",0,0.527777777777778,3.8817
"1981-03-19",0,0.485925925925926,3.8335
"1981-03-20",0.9057,0.479537037037037,2.3059
"1981-03-21",8.4542,0.633148148148148,3.2366
"1981-03-22",0,0.516481481481481,3.2137
"1981-03-23",0,0.472777777777778,3.4333
"1981-03-24",0.0267,0.461018518518518,2.9041
"1981-03-25",0.1765,0.454444444444444,3.1134
"1981-03-26",0,0.44537037037037,3.432
"1981-03-27",0.6864,0.443518518518518,3.1592
"1981-03-28",10.7962,0.652314814814815,3.0526
"1981-03-29",3.2489,0.857407407407407,2.8959
"1981-03-30",19.8869,0.809444444444444,2.0421
"1981-03-31",5.0609,0.992314814814815,2.5344
"1981-04-01",6.7998,0.691203703703704,2.9196
"1981-04-02",0,0.561296296296296,3.5661
"1981-04-03",0,0.508148148148148,3.3579
"1981-04-04",0,0.484537037037037,2.4275
"1981-04-05",0.0389,0.479351851851852,2.8075
